,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,lat,lon
3192,3192,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,6,GSM,False,10023,120,427,2,-31,4,25.366745,51.538238
3193,3193,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,7,GSM,False,10193,120,427,2,-37,4,25.368576,51.523819
3194,3194,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,8,GSM,False,10571,120,427,2,-49,4,25.369661,51.543964
3195,3195,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,9,GSM,False,10761,120,427,2,-51,4,25.385899,51.543892
3196,3196,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,10,GSM,False,16853,120,427,2,-51,4,25.370248,51.533936
3197,3197,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,11,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3198,3198,25.372063333333337,51.53759,0.0,0.0,1561286148248,0,GSM,True,25451,9402,427,1,-25,4,25.374525,51.540157
3199,3199,25.372063333333337,51.53759,0.0,0.0,1561286148248,1,GSM,False,25452,9402,427,1,-7,4,25.359192,51.527252
3200,3200,25.372063333333337,51.53759,0.0,0.0,1561286148248,2,GSM,False,25453,9402,427,1,-23,4,25.371372,51.536366
3201,3201,25.372063333333337,51.53759,0.0,0.0,1561286148248,3,GSM,False,43951,9402,427,1,-51,4,25.37047,51.53982
3202,3202,25.372063333333337,51.53759,0.0,0.0,1561286148248,4,GSM,False,20003,9402,427,1,-71,4,25.3732,51.546154
3203,3203,25.372063333333337,51.53759,0.0,0.0,1561286148248,5,GSM,True,16851,120,427,2,-3,4,25.373954,51.539088
3204,3204,25.372063333333337,51.53759,0.0,0.0,1561286148248,6,GSM,False,10023,120,427,2,-35,4,25.366745,51.538238
3205,3205,25.372063333333337,51.53759,0.0,0.0,1561286148248,7,GSM,False,10193,120,427,2,-41,4,25.368576,51.523819
3206,3206,25.372063333333337,51.53759,0.0,0.0,1561286148248,8,GSM,False,10761,120,427,2,-45,4,25.385899,51.543892
3207,3207,25.372063333333337,51.53759,0.0,0.0,1561286148248,9,GSM,False,10571,120,427,2,-45,4,25.369661,51.543964
3208,3208,25.372063333333337,51.53759,0.0,0.0,1561286148248,10,GSM,False,16853,120,427,2,-47,4,25.370248,51.533936
3209,3209,25.372063333333337,51.53759,0.0,0.0,1561286148248,11,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3210,3210,25.37199,51.537375,0.0,0.0,1561286149270,0,GSM,True,25451,9402,427,1,-25,4,25.374525,51.540157
3211,3211,25.37199,51.537375,0.0,0.0,1561286149270,1,GSM,False,25452,9402,427,1,-7,4,25.359192,51.527252
3212,3212,25.37199,51.537375,0.0,0.0,1561286149270,2,GSM,False,25453,9402,427,1,-23,4,25.371372,51.536366
3213,3213,25.37199,51.537375,0.0,0.0,1561286149270,3,GSM,False,43951,9402,427,1,-51,4,25.37047,51.53982
3214,3214,25.37199,51.537375,0.0,0.0,1561286149270,4,GSM,False,20003,9402,427,1,-71,4,25.3732,51.546154
3215,3215,25.37199,51.537375,0.0,0.0,1561286149270,5,GSM,True,16851,120,427,2,-3,4,25.373954,51.539088
3216,3216,25.37199,51.537375,0.0,0.0,1561286149270,6,GSM,False,10023,120,427,2,-35,4,25.366745,51.538238
3217,3217,25.37199,51.537375,0.0,0.0,1561286149270,7,GSM,False,10193,120,427,2,-41,4,25.368576,51.523819
3218,3218,25.37199,51.537375,0.0,0.0,1561286149270,8,GSM,False,10761,120,427,2,-45,4,25.385899,51.543892
