BSSID,Lat,Long
50:6a:03:8e:db:ad,25.32025909,51.45106506
b4:ec:02:6a:0f:41,25.32026863,51.45095825
d0:65:ca:8d:47:0a,25.31897163,51.45011902
dc:74:a8:12:a4:1e,25.32050323,51.44978714
3e:57:6c:76:db:96,25.32077026,51.44996262
10:da:43:5b:f8:63,25.32077026,51.44996262
f4:bf:80:ad:c1:51,25.31969833,51.44976425
18:a6:f7:54:a2:f2,25.3136158,51.4508934
50:6a:03:b8:c5:a8,25.31362534,51.45160675
3a:53:9c:1d:12:e9,25.31231308,51.44754791
b0:00:b4:60:db:a0,25.31290245,51.44316483
b0:00:b4:60:db:a3,25.31289482,51.44316864
b0:00:b4:60:db:a2,25.31288719,51.44318771
20:37:06:c6:98:82,25.31376648,51.44083786
20:37:06:c6:98:81,25.31376648,51.44083786
58:35:d9:ab:6d:a1,25.31377602,51.43821716
50:6a:03:8e:c7:1e,25.31407356,51.43792725
52:6a:03:8e:c7:1e,25.31402779,51.43796539
00:24:36:ad:ba:0f,25.31432915,51.43626022
2c:dc:ad:57:78:7a,25.31503296,51.43606949
58:d5:6e:41:4e:fa,25.32046509,51.49647141
4c:1f:cc:2a:ba:19,25.32096672,51.50099945
58:2a:f7:bd:09:c4,25.32099342,51.5008812
84:47:65:f1:cd:18,25.32099915,51.50094604
58:2a:f7:74:94:d4,25.32082367,51.50051498
08:bd:43:34:4a:d3,25.32096672,51.50081635
c0:62:6b:66:85:c6,25.31653976,51.4997406
c0:62:6b:66:85:c0,25.31692696,51.49927139
c0:62:6b:66:85:c9,25.31708145,51.50008011
c0:62:6b:66:85:c5,25.31685448,51.49954224
58:2a:f7:74:b1:d4,25.31676865,51.49906921
f4:91:1e:09:84:a9,25.31763649,51.4970665
90:67:1c:3f:00:f0,25.31752396,51.49727249
40:a8:f0:6b:7c:1b,25.31779289,51.49674225
ac:84:c6:b6:32:7c,25.31764793,51.49698257
f4:f2:6d:ee:20:e4,25.31766891,51.49607468
b6:fb:e4:44:26:69,25.31843948,51.49602127
c6:fb:e4:44:26:69,25.31797028,51.49591064
c4:07:2f:d4:09:60,25.3189888,51.49671555
24:fb:65:1d:0f:c0,25.31964111,51.49707413
30:e1:71:ae:42:3c,25.31719589,51.50044632
d0:6f:82:8e:aa:18,25.31870079,51.49430084
44:c3:46:31:ae:fc,25.3196106,51.49217224
d0:6f:82:91:6f:f4,25.32037544,51.49048615
0c:80:63:a4:ff:ce,25.32032013,51.49051285
