radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,427,1,9101,22621,0,51.523752,25.248207,1099,41,1,1351761551,1476757112,0
GSM,427,1,9101,20142,0,51.515433,25.243575,2033,548,1,1351761551,1487424399,0
GSM,427,1,9101,20302,0,51.536473,25.253448,1000,42,1,1351761551,1421079792,0
GSM,427,1,9101,20301,0,51.537437,25.258369,1000,12,1,1351761551,1421079792,0
GSM,427,1,9101,20263,0,51.537444,25.258282,1000,102,1,1351761551,1476147918,0
GSM,427,1,9501,23882,0,51.535894,25.258563,1000,58,1,1351761551,1478062071,0
GSM,427,1,9101,20303,0,51.530411,25.254318,1000,15,1,1351761551,1421079788,0
GSM,427,1,9101,25202,0,51.511701,25.235259,2522,759,1,1351761552,1487424404,0
GSM,427,1,9101,22661,0,51.479553,25.242169,3424,893,1,1351761559,1480903907,0
GSM,427,1,9201,25963,0,51.394363,25.173378,4435,334,1,1352125400,1480426546,0
GSM,427,1,9201,22473,0,51.387535,25.200711,2709,92,1,1352125400,1490672293,0
