,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
373,GSM,427,1,9201,29383,0,51.434383,25.210705,1000,8,1,1352125530,1421079777,0
374,GSM,427,1,9201,25961,0,51.418043,25.190866,2176,42,1,1352125531,1487931161,0
375,GSM,427,1,9302,22863,0,51.233317,25.138049,5252,308,1,1352125533,1477181388,0
376,GSM,427,1,9302,24351,0,51.200173,25.126713,14410,164,1,1352125533,1469489953,0
377,GSM,427,1,9302,24702,0,51.285949,25.156919,8999,431,1,1352125533,1477267324,0
378,GSM,427,1,9302,23392,0,51.370774,25.173606,5064,521,1,1352125533,1458897311,0
379,GSM,427,1,9201,22471,0,51.415476,25.197244,1899,103,1,1352125534,1482634835,0
380,GSM,427,1,9102,22892,0,51.554537,24.991142,2948,87,1,1352195559,1476318887,0
381,GSM,427,1,9102,22893,0,51.50838,25.007152,6702,506,1,1352195559,1485519229,0
382,GSM,427,1,9601,21592,0,51.454528,25.378822,3717,68,1,1352195566,1478514672,0
383,GSM,427,1,9601,21591,0,51.459249,25.38722,1389,55,1,1352195566,1478514672,0
384,GSM,427,1,9601,20402,0,51.465577,25.391349,3505,95,1,1352195566,1478096719,0
385,GSM,427,1,9601,21593,0,51.455277,25.388974,4704,145,1,1352195566,1478514672,0
386,GSM,427,1,9301,25883,0,51.446775,25.358086,1390,59,1,1352195567,1475813248,0
387,GSM,427,1,9301,25881,0,51.454606,25.354728,2457,555,1,1352195567,1475813248,0
388,GSM,427,1,9301,22111,0,51.466945,25.318043,1004,501,1,1352195567,1490256190,0
389,GSM,427,1,9302,29532,0,51.479374,25.288708,1000,154,1,1352195567,1404750329,0
390,GSM,427,1,9101,25493,0,51.517201,25.243615,1473,1442,1,1352195567,1486703150,0
391,GSM,427,1,9101,24563,0,51.558385,25.212499,5589,47,1,1352195568,1481039207,0
392,GSM,427,1,9102,23903,0,51.56749,25.192749,3098,20,1,1352195568,1481039207,0
393,GSM,427,1,9101,29411,0,51.515174,25.228907,5631,451,1,1352195569,1486702986,0
394,GSM,427,1,9101,20343,0,51.498493,25.238185,1320,249,1,1352195570,1476007483,0
395,GSM,427,1,9101,23551,0,51.495627,25.23911,1962,34,1,1352195570,1475485260,0
396,GSM,427,1,9101,25143,0,51.494522,25.25407,1000,21,1,1352195571,1485588659,0
397,GSM,427,1,9101,25141,0,51.509306,25.233973,2861,44,1,1352195571,1472996971,0
398,GSM,427,1,9101,20433,0,51.49685,25.257592,1000,58,1,1352195571,1475813215,0
399,GSM,427,1,9501,21752,0,51.498648,25.259163,3698,935,1,1352195571,1492540200,0
400,GSM,427,1,9301,23252,0,51.465894,25.320264,3183,624,1,1352195572,1490256190,0
401,GSM,427,1,9301,25711,0,51.471138,25.356839,1000,169,1,1352195572,1487997792,0
402,GSM,427,1,9402,22973,0,51.478124,25.355101,1000,259,1,1352195573,1487997792,0
403,GSM,427,1,9402,24873,0,51.48759,25.352304,1144,97,1,1352195573,1471606262,0
404,GSM,427,1,9402,21443,0,51.492192,25.358616,1000,99,1,1352195573,1490927296,0
405,GSM,427,1,9402,25062,0,51.497799,25.358288,2410,19,1,1352195573,1490927296,0
406,GSM,427,1,9402,25063,0,51.498587,25.364572,3056,67,1,1352195573,1491131371,0
407,GSM,427,1,9402,22182,0,51.498811,25.372633,1392,195,1,1352195573,1491131371,0
408,GSM,427,1,9402,24453,0,51.515146,25.363348,1000,19,1,1352195573,1364783629,0
409,GSM,427,1,9402,25293,0,51.520927,25.358859,1000,66,1,1352195573,1491131365,0
410,GSM,427,1,9402,23851,0,51.520665,25.353098,1060,128,1,1352195573,1491131365,0
411,GSM,427,1,9402,21101,0,51.521994,25.344974,4487,143,1,1352195573,1491131365,0
412,GSM,427,1,9401,23193,0,51.520809,25.333342,1000,99,1,1352195573,1490927307,0
413,GSM,427,1,9401,22963,0,51.526343,25.327906,1000,117,1,1352195573,1492124389,0
414,GSM,427,1,9401,23123,0,51.523891,25.327136,1000,38,1,1352195573,1491131349,0
415,GSM,427,1,9302,24302,0,51.313632,25.171651,7879,301,1,1352291210,1472605759,0
416,GSM,427,1,9102,20805,0,51.465433,25.111345,15200,33,1,1352291216,1476325758,0
417,GSM,427,1,9401,23122,0,51.523278,25.322175,1000,33,1,1352291216,1491131344,0
418,GSM,427,1,9401,22993,0,51.521247,25.320186,1000,134,1,1352291216,1491131360,0
419,GSM,427,1,9401,20323,0,51.516922,25.326106,1000,135,1,1352291216,1468717910,0
420,GSM,427,1,9401,20211,0,51.517476,25.335029,1142,42,1,1352291217,1490927302,0
421,GSM,427,1,9402,29812,0,51.521434,25.364353,1000,190,1,1352291217,1491131365,0
422,GSM,427,1,9402,24451,0,51.51420593,25.36399841,1000,1,1,1352291217,1352157680,0
423,GSM,427,1,9402,22983,0,51.507308,25.361124,1000,43,1,1352291217,1491131365,0
424,GSM,427,1,9402,25061,0,51.501413,25.365065,1000,76,1,1352291217,1491131371,0
425,GSM,427,1,9402,23201,0,51.496478,25.367145,1266,55,1,1352291217,1491131371,0
426,GSM,427,1,9402,29821,0,51.513271,25.377741,1223,141,1,1352291218,1490927291,0
427,GSM,427,1,9402,29823,0,51.50274,25.380934,3363,226,1,1352291218,1491131371,0
428,GSM,427,1,9402,22181,0,51.500483,25.379894,1377,141,1,1352291218,1491131371,0
429,GSM,427,1,9301,20921,0,51.467409,25.334244,1084,300,1,1352291219,1476269918,0
430,GSM,427,1,9301,22133,0,51.471541,25.313047,1000,383,1,1352291219,1476270219,0
431,GSM,427,1,9101,24382,0,51.508722,25.252711,1000,297,1,1352291221,1486703273,0
432,GSM,427,1,9601,22721,0,51.448078,25.365438,1449,249,1,1352291221,1475813248,0
433,GSM,427,1,9402,21063,0,51.468018,25.375769,1547,240,1,1352291221,1475813232,0
