,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
217,219,25.368805,51.55143666666666,0.0,0.0,1561285810893,3,GSM,False,25642,9402,427,1,-79,4,0.0
218,220,25.368805,51.55143666666666,0.0,0.0,1561285810893,4,GSM,False,29173,9402,427,1,-83,4,0.0
219,221,25.368805,51.55143666666666,0.0,0.0,1561285810893,5,GSM,False,29171,9402,427,1,-85,4,0.0
220,222,25.368805,51.55143666666666,0.0,0.0,1561285810893,6,GSM,False,49543,9402,427,1,-93,3,0.0
221,223,25.368805,51.55143666666666,0.0,0.0,1561285810893,7,GSM,True,17383,120,427,2,13,4,0.0
222,224,25.368805,51.55143666666666,0.0,0.0,1561285810893,8,GSM,False,17382,120,427,2,-19,4,0.0
223,225,25.368805,51.55143666666666,0.0,0.0,1561285810893,9,GSM,False,16573,120,427,2,-45,4,0.0
224,226,25.368805,51.55143666666666,0.0,0.0,1561285810893,10,GSM,False,17381,120,427,2,-53,4,0.0
225,227,25.368805,51.55143666666666,0.0,0.0,1561285810893,11,GSM,False,16572,120,427,2,-71,4,0.0
226,228,25.368805,51.55143666666666,0.0,0.0,1561285810893,12,GSM,False,10022,120,427,2,-77,4,0.0
227,229,25.368805,51.55143666666666,0.0,0.0,1561285810893,13,GSM,False,10681,120,427,2,-81,4,0.0
228,230,25.368806666666668,51.551431666666666,0.0,0.0,1561285811895,0,GSM,True,40283,9402,427,1,-11,4,0.0
229,231,25.368806666666668,51.551431666666666,0.0,0.0,1561285811895,1,GSM,False,40282,9402,427,1,-29,4,0.0
